Address,Company Name,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,lat,long
30 Paterson St,Express Mart Smoke Shop,-0.1852492211091664,-0.04524736815191293,-0.3999693908479587,-0.10551519831679633,-1.259452836676814,0.5141786965626074,-0.025089684359558894,-0.1206424274585229,-0.1258889694565166,0.12196669300093224,-0.33548189995059047,1.1844876854203736,40.4951104,-74.44348640000003
152 Market St,J K Los Poblanos LLC,-0.1852492211091664,-0.04524736815191293,-0.41236341385620556,-0.34164324786036193,-1.4114587950590445,3.248672661423388,-0.025089684359558894,-0.23343927383764862,-0.33851481770346814,0.7997045266999022,-1.020821182621529,-0.33081199544868906,40.8667711,-74.1168043
25 Howe Ave # 2,Pinos Market Grill,-0.1852492211091664,-0.04524736815191293,-0.42323107037633906,-0.29155547977536317,0.2606067471454901,3.248672661423388,-1.4169833753957213,-0.23343927383764862,-0.1258889694565166,0.7997045266999022,-1.2092389693814984,-0.34290443203465887,40.8609426,-74.12776120000002
1 Market St # 1a,Market Gourmet,-2.188256424352029,-0.04524736815191293,-0.400237608551997,-0.2844000843346491,0.5646186639099497,-0.37409641304185,-0.025089684359558894,5.621254181078877,0.8100391340714814,0.7244003229555722,-0.8101959686032327,-0.33682221351951763,39.94748679999999,-75.1270824
401 N Tennessee Ave,Cedar Food Market,-1.1867528227305977,-0.04524736815191293,-0.6426423466369646,-0.2987108752160773,-1.4114587950590445,1.6637111913448466,-0.025089684359558894,0.07272359490569262,-0.33851481770346814,-1.1582047706526777,-1.1910826154672347,-1.4351783910065778,39.3677535,-74.43160970000002
337 Essex St,Simple Simon's Super Deli,-0.1852492211091664,-0.04524736815191293,-0.256918319250781,-0.10909289603715339,0.2606067471454901,0.2703384703966779,-0.025089684359558894,0.005582614918117785,-0.1258889694565166,0.3478793042339222,1.3054760209625458,1.675358244521159,40.8828225,-74.05805620000002
1500 Park Blvd,Ernie's Market,-0.1852492211091664,-0.04524736815191293,-0.400237608551997,-0.16633605956286626,-0.19541112800120206,-0.32184493600629366,-0.025089684359558894,-0.1609270154510678,-0.1258889694565166,0.9503129341885622,-0.8101959686032327,-0.33682221351951763,39.9369755,-75.10105990000002
1151 E State St,Jo Jo's Market,-0.1852492211091664,-0.04524736815191293,-0.43776050437103126,0.01612652417534352,-0.49942304476566235,-0.42634789007740626,-0.025089684359558894,-0.09110039626398997,-0.33851481770346814,-0.7816837519310277,0.2112207761550633,-0.9564354739522012,40.22628270000001,-74.7399477
830 Broadway,El Agila Dorada,0.816254380512265,-0.04524736815191293,1.7913482781417045,2.1377012723470767,0.4126127055277199,0.7406017637166847,-0.025089684359558894,-1.0595418916047694,0.17190633621148277,-0.02864171448772775,-0.0640722114336654,0.49553932585685845,40.6755733,-74.1080982
171 3rd St # A,3rd St Grocery,-0.1852492211091664,-0.04524736815191293,-0.4446409381810673,-0.33448785241964785,-1.259452836676814,0.28775562940853006,-0.025089684359558894,-0.058872725869954054,-0.1258889694565166,0.4231835079782522,0.1328016401818071,-0.07447106989457189,40.65363920000001,-74.18796329999998
6905 Bergenline Ave,Sunrise,-0.1852492211091664,-0.04524736815191293,-0.5809342815192426,-0.34164324786036193,0.10860078876325892,1.4895396012263253,-0.025089684359558894,-0.10989987066051092,-0.33851481770346814,3.058830639029802,-0.0640722114336654,0.49553932585685845,40.7959063,-74.0113522
179 Goffle Rd,Quick Stop Ready Mix Concrete,-0.1852492211091664,-0.04524736815191293,-0.41236341385620556,-0.345220945580719,-0.04340516961897089,-0.879194024385561,-0.025089684359558894,-0.23343927383764862,-0.1258889694565166,-0.02864171448772775,-1.020821182621529,-0.33081199544868906,40.9403014,-74.16376890000002
532 Washington St # A,Hoboken Mini Mart,-0.1852492211091664,-0.04524736815191293,-0.31734733050005254,-0.3595317364621472,1.1726424974388716,0.02649824423074846,-0.025089684359558894,-0.11258550986001392,-0.1258889694565166,2.682309620308152,-0.0640722114336654,0.49553932585685845,40.7432798,-74.0293926
168 Market St,172 Market LLC,-0.1852492211091664,-0.04524736815191293,-0.256918319250781,-0.3595317364621472,-4.907595837850343,-0.7398567522907442,-0.025089684359558894,0.005582614918117785,-0.1258889694565166,0.4984877117225822,1.3054760209625458,1.675358244521159,40.9008218,-74.1245007
7609 Broadway,Rt Grocery,-0.1852492211091664,-0.04524736815191293,-0.31734733050005254,-0.3523763410214331,0.7166246222921808,0.61868165063372,-0.025089684359558894,-0.11258550986001392,-0.1258889694565166,2.757613824052482,-0.0640722114336654,0.49553932585685845,40.7974532,-74.0026757
863 E Jersey St,Torres Market,-0.1852492211091664,-0.04524736815191293,-0.4446409381810673,-0.35595403874179016,1.1726424974388716,1.0192763079063185,-0.025089684359558894,-0.058872725869954054,-0.1258889694565166,0.4984877117225822,0.1328016401818071,-0.07447106989457189,40.6613726,-74.2025931
1 Blue Hill Plz,Food City Markets Inc,-1.1867528227305977,-0.04524736815191293,-0.256918319250781,-0.29155547977536317,0.2606067471454901,-0.8966111833974131,-0.025089684359558894,0.005582614918117785,-0.1258889694565166,0.7244003229555722,1.3054760209625458,1.675358244521159,41.0490053,-74.0068531
778 Morris Tpke,Kings Super Mar,-0.1852492211091664,-0.04524736815191293,-0.4642878092167531,0.46691643694033247,0.10860078876325892,-0.9662798194448216,-0.025089684359558894,-0.045444529872439084,-0.33851481770346814,-0.17925012197638773,0.06877924636311937,1.0163154704469952,40.7222919,-74.33446090000002
621 Executive Dr,Newmarket Pharmaceuticals LLC,-0.1852492211091664,-0.04524736815191293,-0.06905328651497233,-0.29155547977536317,0.2606067471454901,-0.4960165261248147,-0.9715773942641496,-0.1188537917516539,-0.1258889694565166,-0.8569879556753577,2.2419439060721635,-1.1385584163856997,40.3938419,-74.6575402
